question_german,year,episode_number,name,listen_url,,question_english
"Woran w√§rst du wahrscheinlich schon gestorben, wenn es keine Medizin geben w√ºrde?",2023,220,Tommi,https://open.spotify.com/episode/60dxeOhRwXlpTS9xyYtg7x?go=1&t=3459, ,What would you probably have already died from if medicine didn’t exist?
Was ist dein Lieblingsverkehrsschild?,2023,219,Felix,https://open.spotify.com/episode/6FLsFfbOOIY4YWuLfvP31b?go=1&t=2975, ,What’s your favorite traffic sign?
Bist du schon einmal fast gestorben?,2019,81,Tommi,https://open.spotify.com/episode/7v1wQU8Y5A4RUrzOokjRFB?go=1&t=2459, ,Have you ever had a near-death experience?
"Welche Frisur h√§ttest du, wenn du eine Frau/ein Mann w√§rest?",2022,190,Felix,https://open.spotify.com/episode/2xR0ldWeSQ9RIlIHk9po0O?go=1&t=3151, ,What hairstyle would you have if you were the opposite gender?
Welche Worte verwendest du falsch?,2020,103,Tommi,https://open.spotify.com/episode/0DINuNUDEtAiQIa9HgOQBs?go=1&t=3146, ,Which words do you use incorrectly?
"Was sind deine Top-3 Dinge, die nie zu finden sind?",2021,149,Felix,https://open.spotify.com/episode/2h9VWKSzQSP4FZt4MZk1qy?go=1&t=3807, ,What are your top three things that always go missing?
Was ist deine Go-To-Backware?,2022,168,Felix,https://open.spotify.com/episode/0GgXMDIx6a33z5hZNu3vO4?go=1&t=2748, ,What’s your go-to baked good?
Was ist der perfekte Moment?,2021,145,Tommi,https://open.spotify.com/episode/0L1J5xgPU345E2CGK09Ypi?go=1&t=3437, ,What’s the perfect moment?
Welchen Plan trainierst du aktuell im Gym?,2019,68,Felix,https://open.spotify.com/episode/5Sd3h4q3pZ7IMBqJFEapuB?go=1&t=3502, ,What training plan are you currently following at the gym?
Was h√∂rt Merkel?,2021,162,Tommi,https://open.spotify.com/episode/2bWBlL2Z5649eifhSYIaP5?go=1&t=4384, ,What does Merkel listen to?
"W√ºrdest du Social Media aktiv nutzen, wenn du Politiker w√§rst?",2023,218,Tommi,https://open.spotify.com/episode/7a9w0lErnjMS6Mu1kDVDNo?go=1&t=3410, ,Would you actively use social media if you were a politician?
Wie stehst du zu Frauenfu√üball?,2019,71,Tommi,https://open.spotify.com/episode/43ZzLWHg2GEVR69HUHqe9E?go=1&t=2204, ,What’s your opinion on women’s football (soccer)?
Was erhoffst du dir vom Reisen?,2020,107,Tommi,https://open.spotify.com/episode/3ve14NDVaoUUqUsxG8mB0X?go=1&t=3600, ,What do you hope to get out of traveling?
"Wenn du ein Bier w√§rst, welches w√§rest du und warum?",2018,45,,https://open.spotify.com/episode/6rI6hV0aMu0SKgnduSZzft?go=1&t=2203, ,"If you were a beer, which one would you be and why?"
W√ºrdest du lieber 2 Wochen lang auf einen ausgewachsenen Tiger aufpassen oder 10 Jahre lang auf ein Huhn?,2018,41,Felix,https://open.spotify.com/episode/6GV8g9pBCDuU3MJ4kazbmd?go=1&t=1068, ,Would you rather take care of a full-grown tiger for two weeks or a chicken for ten years?
Welches Wort hast du als Kind falsch gelesen?,2021,149,Felix,https://open.spotify.com/episode/2h9VWKSzQSP4FZt4MZk1qy?go=1&t=3180, ,What word did you misread as a child?
F√ºr wie viel Geld w√§re deine politische Stimme k√§uflich?,2018,44,Tommi,https://open.spotify.com/episode/3l0uIPrCbPCcfVP2DDHePv?go=1&t=2276, ,For how much money would you sell your political vote?
Was ist die √ºberraschendste Buchstabenposition im Alphabet?,2021,160,Felix,https://open.spotify.com/episode/4iLzG8ZdB3NDorBbCiCc2e?go=1&t=4139, ,What’s the most surprising letter position in the alphabet?
Gab es f√ºr dich einen Alternativnamen?,2022,206,Tommi,https://open.spotify.com/episode/4tI76AevfunAQhvAdkSQWW?go=1&t=3267, ,Did you ever have an alternative name considered for you?
Wie f√§hrst du Auto (Lenkradhaltung)?,2019,53,Felix,, ,How do you hold the steering wheel when you drive?
"Kennst du P√§rchen, die sich vor anderen gegenseitig schlecht machen?",2019,73,Tommi,https://open.spotify.com/episode/0FrpiZyCD59Vt0j9AWLsow?go=1&t=4169, ,Do you know couples who badmouth each other in front of others?
In welcher Fernsehsendung w√ºrdest du gern mal mitspielen?,2018,47,Tommi,https://open.spotify.com/episode/3zKMqZgCacoiVcF4fHnvxd?go=1&t=3030, ,In which TV show would you like to participate?
Korrigierst du WhatsApp-Nachrichten oder schreibst du lieber neu?,2020,91,Felix,https://open.spotify.com/episode/7zHD9kMDlKN2RdKtSzCqfG?go=1&t=4241, ,Do you correct WhatsApp messages or just rewrite them?
"Welchen Sinn w√ºrdest du am ehesten verlieren wollen, wenn du dir einen aussuchen m√ºsstest?",2018,47,Tommi,https://open.spotify.com/episode/3zKMqZgCacoiVcF4fHnvxd?go=1&t=3171, ,"If you had to lose one sense, which one would you choose?"
Wie s√§he deine pers√∂nliche Flagge aus?,2020,92,Tommi,https://open.spotify.com/episode/4QHfqWTANsvwoUsmISchqT?go=1&t=3215, ,What would your personal flag look like?
"""Fluch und Segen"" - was ist deine erste Assoziation?",2023,235,Felix,https://open.spotify.com/episode/2y5krjiritBCaVAIEAt6rC?go=1&t=3996, ,“Blessing and curse” — what’s your first association?
"Wenn du im Ausland bist, was vermisst du an Deutschland?",2021,132,Felix,https://open.spotify.com/episode/2BivSWq3V4AuivPJRGSuxr?go=1&t=2693, ,"When you’re abroad, what do you miss most about Germany?"
Auf welches Konzert w√ºrdest du gern gehen?,2019,78,Felix,https://open.spotify.com/episode/3DdjDnmfKixTCDVAKhOfMe?go=1&t=3598, ,Which concert would you love to attend?
Wie ist deine Nach-Hause-Komm-Routine?,2020,102,Felix,https://open.spotify.com/episode/1iOCEmAwLwJRwsc04qadb4?go=1&t=2510, ,What’s your coming-home routine?
Nie wieder Instagram oder nie wieder Spotify?,2018,39,Felix,https://open.spotify.com/episode/2m7HviLaWe2isM3l15Gz80?go=1&t=544, ,Never again Instagram or never again Spotify?
Welche Fernsehsendung vermisst du?,2019,67,Tommi,https://open.spotify.com/episode/6CC2yXWPXegqs5eSwUnBP4?go=1&t=3127, ,Which TV show do you miss?
Hast du 'n Standmixer? Und benutzt du ihn auch?,2021,141,Felix,https://open.spotify.com/episode/6VDVkHnX7IzI5epOGznm9j?go=1&t=1856, ,Do you have a blender? And do you actually use it?
MC Donalds oder Burger King?,2020,101,,https://open.spotify.com/episode/7yb6fSUGMZXCzSRlloyXuE?go=1&t=1403, ,McDonald’s or Burger King?
Was war ein modischer Fehltritt von dir?,2021,157,Felix,https://open.spotify.com/episode/5WaRdGfyhyJBmhgwO7Sh68?go=1&t=4216, ,What was a fashion fail of yours?
Was war das Beste an der Corona-Zeit?,2021,156,Tommi,https://open.spotify.com/episode/4sVcEcAjy7w85yPUiM6rpx?go=1&t=3416, ,What was the best thing about the COVID time?
"Du hast 9 Minuten Zeit, dich richtig vollzuessen, weil du danach ewig nicht dazu kommen wirst: Was isst du?",2022,185,Felix,https://open.spotify.com/episode/5wqA5iGL7mAY8kX0tAhwYG?go=1&t=3240, ,You have 9 minutes to eat as much as you can because you won’t be able to eat for a long time — what do you eat?
Welches Land magst du am liebsten?,2018,51,,https://open.spotify.com/episode/0FnbzZcV1VDFpgHrg8zqRi?go=1&t=2631, ,Which country do you like the most?
Wie gehst du mit den Corona-Folgen um?,2020,98,Felix,https://open.spotify.com/episode/2xEtqeRciL9Syr0lbugF3M?go=1&t=4122, ,How are you dealing with the consequences of COVID?
Hast du aktuell eine Lieblingssendung?,2022,200,Tommi,https://open.spotify.com/episode/2y797ALeCumSso7is2EY7P?go=1&t=2556, ,Do you currently have a favorite TV show?
Bei welcher T√§tigkeit f√ºhlst du dich am coolsten?,2023,232,Felix,https://open.spotify.com/episode/5ZbfrYMYeoYTSnGgd0c0qZ?go=1&t=5077, ,During which activity do you feel the coolest?
"Wie viele B√§ume kannst du benennen, wenn du sie siehst?",2019,70,Felix,https://open.spotify.com/episode/2T7CMKjCXDyYSgwIPtcu0E?go=1&t=1259, ,How many trees can you name when you see them?
Was ist dein Lieblingsfahrgesch√§ft?,2023,234,Tommi,https://open.spotify.com/episode/2fbNQVNtQBxq6z8PFCa8I5?go=1&t=3986, ,What’s your favorite amusement park ride?
"Was ist ein f√ºr dich relativ teures Produkt, bei dem unverh√§ltnism√§√üig lang √ºber den Kauf nachgedacht hast?",2019,57,Felix,https://open.spotify.com/episode/1PLJi3b8Xwa37A74MyZxWm?go=1&t=2720, ,What’s a relatively expensive product that you overthought buying for way too long?
Was ist dein liebstes True Crime Thema?,2023,228,Felix,https://open.spotify.com/episode/1CTrXJAlwBdklYnYAWVAUs?go=1&t=3751, ,What’s your favorite true crime topic?
"Was war zuletzt das Seltsamste, was du im Internet gesehen hast?",2022,203,Felix,https://open.spotify.com/episode/173KZvg1ChbYI9rdl0GGkg?go=1&t=2798, ,What’s the weirdest thing you’ve seen on the internet lately?
Mit welchem Problemherd hattest du bisher Gl√ºck?,2023,228,Felix,https://open.spotify.com/episode/1CTrXJAlwBdklYnYAWVAUs?go=1&t=2125, ,With which major life problem have you gotten lucky so far?
Welche Lebensmittel mochtest du erst als Erwachsener?,2020,93,Felix,https://open.spotify.com/episode/0lR4g5CQ0WS4y0JtkyheEo?go=1&t=3535, ,Which foods did you only start liking as an adult?
√úber 2 Millionen Menschen in Deutschland k√∂nnen nicht richtig lesen und schreiben - na ja wird schon. Wann bist du das letzte Mal gegen eine T√ºr gerannt?,2019,74,Felix,https://open.spotify.com/episode/2CK67Rr2PvbogKgR35xbZN?go=1&t=2366, ,"Over 2 million people in Germany can’t properly read or write — well, it’ll be fine. So, when was the last time you walked into a door?"
Wie stehst du zu Polaroidkameras?,2019,62,Felix,https://open.spotify.com/episode/6uSSUrP2y4pXXvz6I1tmht?go=1&t=3495, ,What’s your opinion on Polaroid cameras?
"W√§rst du lieber die sch√∂nste Person der Welt, aber g√§nzlich humorlos oder die lustigste Person der Welt, aber g√§nzlich unsch√∂n?",2018,46,Felix,https://open.spotify.com/episode/5c09kILyfpnVGp4F9SiTkI?go=1&t=889, ,"Would you rather be the most beautiful person in the world but completely humorless, or the funniest person in the world but completely unattractive?"
Welche Nahrungsmittel-Kollabo war am besten und welche am schlechtesten?,2022,197,Tommi,https://open.spotify.com/episode/0KkwXJYBJb4bIv9W9b5xM1?go=1&t=3736, ,Which food combination was the best and which was the worst?
"Welches Essen magst du √ºberhaupt nicht, was alle anderen jedoch m√∂gen?",2019,59,Tommi,https://open.spotify.com/episode/7Gqx6bUQOvhX3DWmLqY3ub?go=1&t=2858, ,What food do you dislike that everyone else seems to love?
"Glaubst du, dass es vollkommene Sch√∂nheit gibt?",2023,211,Tommi,https://open.spotify.com/episode/5e14disp0j25dQoCerq5ks?go=1&t=3504, ,Do you believe that perfect beauty exists?
Welcher ist dein Lieblingsvogel?,2020,124,Felix,, ,What’s your favorite bird?
"W√ºrdest du lieber in einem Outfit feiern gehen, was du schei√üe findest oder in einem Outfit deiner Wahl feiern gehen, aber nur Getr√§nke trinken, die man nicht mag?",2019,58,,https://open.spotify.com/episode/0XsdfC9bse858d2ZQKmLjX?go=1&t=6070, ,Would you rather go to a party in an outfit you hate or wear an outfit you love but only drink drinks you hate?
Was h√§ltst du von Fleischsalat?,2023,217,Felix,, ,What do you think about meat salad (Fleischsalat)?
Welcher Geruch kickt dich direkt in deine Jugend zur√ºck?,2023,208,Felix,https://open.spotify.com/episode/6bUXcbuDM47PLl9iZd9j1X?go=1&t=3879, ,Which smell instantly takes you back to your youth?
Was ist dein Lieblingsentertainment auf langen Autofahrten?,2023,221,Felix,https://open.spotify.com/episode/2Rzw6n8MaMQg9s06YRS2Pe?go=1&t=2906, ,What’s your favorite entertainment on long car rides?
Welche Muskelgruppe trainierst du am wenigsten gern?,2022,198,Felix,https://open.spotify.com/episode/4w7p6GXwNwNTO33xLWC0kB?go=1&t=2406, ,Which muscle group do you like training the least?
"Welchen Beruf w√ºrdest du machen, wenn Geld egal w√§re?",2020,118,Tommi,https://open.spotify.com/episode/6J34LV5fFAZHfgm2gMO6e5?go=1&t=4142, ,What job would you do if money didn’t matter?
Wer ist ein historischer Promi mit Shitstorm-Potenzial?,2019,85,Tommi,https://open.spotify.com/episode/21cAjXHNSe30kHN44h40ym?go=1&t=3643, ,Which historical celebrity would face a shitstorm today?
Welche Kalorienbombe verstehst du nicht?,2023,222,Tommi,https://open.spotify.com/episode/4lSbzJKc2y58PnjDUOr8cV?go=1&t=3358, ,Which calorie bomb do you not understand the hype about?
Welches Produkt aus dem Ausland sollte es unbedingt auch in Deutschland geben?,2023,230,Felix,https://open.spotify.com/episode/118WjPKhWlotGPqo2vsLo2?go=1&t=3945, ,What foreign product should definitely exist in Germany?
Wie zum Geier erkl√§rst du einem gl√§ubigen Moslem Karneval?,2023,212,Felix,https://open.spotify.com/episode/444tvza1A9nYrBbLlQ0SP9?go=1&t=1175, ,How on earth would you explain Carnival to a devout Muslim?
Was provoziert dich in hitzigen Diskussionen am meisten?,2022,192,Tommi,https://open.spotify.com/episode/1mykhxsMtyXh6E4Mvxxivr?go=1&t=3209, ,What provokes you the most in heated discussions?
Wem w√ºrdest du gern deinen Erfolg unter die Nase reiben?,2020,104,Felix,https://open.spotify.com/episode/3vVSvfolVLK5IPoRDRxH9O?go=1&t=2816, ,Whose face would you like to rub your success in?
Welcher war dein schlimmster Urlaub?,2021,143,Tommi,, ,What was your worst vacation ever?
Was w√§re deine Henkersmahlzeit?,2020,89,Felix,https://open.spotify.com/episode/4v2BQKgCgSimekHrjSs4au?go=1&t=3163, ,What would your last meal be?
"Gibt es Comedy-Klischees, die wahr sind?",2019,81,Tommi,https://open.spotify.com/episode/7v1wQU8Y5A4RUrzOokjRFB?go=1&t=3437, ,Are there comedy clichés that are actually true?
Hast du schon mal eine toxische Lebensweisheit bekommen?,2022,196,Felix,https://open.spotify.com/episode/069klYLSitGKBHhHh5qRet?go=1&t=3666, ,Have you ever been given a toxic piece of life advice?
An welcher Stelle ist Muskelkater am schlimmsten/besten?,2020,91,Felix,https://open.spotify.com/episode/7zHD9kMDlKN2RdKtSzCqfG?go=1&t=4124, ,Where is muscle soreness the worst—or the best?
Wie war Fahrschule f√ºr dich?,2020,95,Felix,https://open.spotify.com/episode/5BjWkkYt9D3u4S4Gc8UHrY?go=1&t=2422, ,How was driving school for you?
"Welches Lied hat eine gute Hook, ist sonst aber schlecht?",2022,198,Felix,https://open.spotify.com/episode/4w7p6GXwNwNTO33xLWC0kB?go=1&t=4002, ,Which song has a great hook but otherwise sucks?
Welches Land interessiert dich aktuell √ºberhaupt nicht?,2022,178,Tommi,https://open.spotify.com/episode/5ONVlo5rNtEza4grWDSpbu?go=1&t=3475, ,Which country are you currently completely uninterested in?
"Was willst du haben, was aber nicht erlaubt ist?",2021,165,Tommi,https://open.spotify.com/episode/2WgTRdfjEPMwnKrMi8KQtL?go=1&t=1168, ,What do you want that isn’t allowed?
Was ist dein Lieblingsgew√§sser?,2020,105,Tommi,https://open.spotify.com/episode/1sjAMnGslQRaXMFrBPaWv1?go=1&t=3547, ,What’s your favorite body of water?
In welchen Momenten f√§hrst du wie 'ne richtige Oma?,2023,236,Tommi,https://open.spotify.com/episode/7vlwrLYJb1qVvuAvyk0UWa?go=1&t=3205, ,In what moments do you drive like a grandma?
"Was war das letzte Konzert, auf dem du warst?",2022,206,Felix,https://open.spotify.com/episode/4tI76AevfunAQhvAdkSQWW?go=1&t=2701, ,What was the last concert you went to?
Was ist die gr√∂√üte Modes√ºnde bei M√§nnern?,2023,227,Tommi,https://open.spotify.com/episode/0iIEJKvYzyqj6qhZwsnvZM?go=1&t=3712, ,What’s the biggest fashion sin men commit?
Welche Praktika hast du gemacht?,2020,115,Tommi,https://open.spotify.com/episode/7BxUJL8VPeMaKg31W6jGWa?go=1&t=2741, ,What internships have you done?
Wie viel Geld ziehst du immer am Automaten?,2018,42,Tommi,https://open.spotify.com/episode/1zc3bn8eFwXCfaMtRnspcf?go=1&t=2846, ,How much cash do you usually withdraw from an ATM?
Welche Hoffnung hast du aufgegeben?,2020,103,Tommi,https://open.spotify.com/episode/0DINuNUDEtAiQIa9HgOQBs?go=1&t=4573, ,What hope have you given up on?
Was ist dein Lieblings-Sommeroutfit?,2023,223,Felix,https://open.spotify.com/episode/1I3TOC2bDjq5loaxcypL1y?go=1&t=2615, ,What’s your favorite summer outfit?
Was ist in deinem Kulturbeutel?,2020,120,Tommi,https://open.spotify.com/episode/0qr9VsUXkKyUAnQUJc8BLF?go=1&t=3968, ,What’s in your toiletry bag?
Wie viele aktive Hosen hast du?,2019,72,Felix,https://open.spotify.com/episode/1AT76QM4JXRaGUwjstaKLe?go=1&t=2072, ,How many active pairs of pants do you have?
Welcher Jeansverschluss ist dir lieber: Kn√∂pfe oder Rei√üverschluss?,2019,62,Felix,https://open.spotify.com/episode/6uSSUrP2y4pXXvz6I1tmht?go=1&t=2579, ,Which jeans closure do you prefer: buttons or zipper?
Wo ist dir Hygiene wichtiger: Bad oder K√ºche?,2020,101,,https://open.spotify.com/episode/7yb6fSUGMZXCzSRlloyXuE?go=1&t=777, ,Where is hygiene more important to you: bathroom or kitchen?
Kannst du dir einh√§ndig die Nase putzen?,2022,179,Felix,https://open.spotify.com/episode/1DYg1l6xLFO54ewbK0HSzR?go=1&t=1712, ,Can you blow your nose one-handed?
"Gibt es ein Produkt, bei dem du dich fragst, warum du es nicht gleich in gro√üen Mengen kaufst?",2023,239,Tommi,https://open.spotify.com/episode/0z9ASWjHSH0p82mLAAlZjS?go=1&t=2635, ,Is there a product you always wonder why you don’t just buy in bulk?
Was finden deine Eltern an dir am besten?,2022,205,Felix,https://open.spotify.com/episode/3DaaesGPUoRcb8isdWIOqt?go=1&t=3331, ,What do your parents like most about you?
Macht Geld gl√ºcklich?,2017,5,Tommi,https://open.spotify.com/episode/3gjrzvNUwT2NaG10lxetUG?go=1&t=1015, ,Does money make you happy?
Was ist 17 * 9?,2020,123,Felix,https://open.spotify.com/episode/1ZOUfvSu8oyGY2JyB2lvY8?go=1&t=2766, ,What is 17 * 9?
Welchen Rat w√ºrdest du einem reichen kleinen Kind geben?,2022,180,Tommi,https://open.spotify.com/episode/5l7feie7QVNJJYGBspNtr8?go=1&t=3580, ,What advice would you give to a rich little kid?
Was war die beste Cola deines Lebens?,2023,208,Felix,https://open.spotify.com/episode/6bUXcbuDM47PLl9iZd9j1X?go=1&t=3457, ,What was the best Coke of your life?
Was ist die Lieblingsdeko in deiner Wohnung?,2020,119,Felix,https://open.spotify.com/episode/3IHvV480YU8S1B4ptUtntN?go=1&t=2515, ,What’s your favorite decoration in your apartment?
"Was ist eine Zutat, die immer alles versaut?",2021,137,Felix,https://open.spotify.com/episode/5poLp9EsfQ4YsjKcquCHm7?go=1&t=4172, ,What’s one ingredient that always ruins everything?
Was war der beste Fehler deines Lebens?,2022,190,Felix,https://open.spotify.com/episode/2xR0ldWeSQ9RIlIHk9po0O?go=1&t=4496, ,What was the best mistake of your life?
Wann f√ºhlst du dich am lebendigsten?,2023,209,Tommi,https://open.spotify.com/episode/1A6A1YVh44qBoKezNR8RfY?go=1&t=3377, ,When do you feel most alive?
"Wartest du nach dem Haust√ºr-Klingeln oder gehst du schon hoch, wenn offen ist?",2019,83,Tommi,https://open.spotify.com/episode/5PaA2JIvfamCVYcqMJXRYq?go=1&t=1951, ,Do you wait after the doorbell rings or start walking up right away if the door is already open?
Hast du jemals etwas von der Aktionskarte im Restaurant genommen?,2019,54,Tommi,https://open.spotify.com/episode/19H4s5qGvW1OxUE7cW5K9c?go=1&t=1836, ,Have you ever ordered something from the “special menu” in a restaurant?
"Glaubst du, wir gew√∂hnen uns an die Pandemie?",2021,165,Tommi,https://open.spotify.com/episode/2WgTRdfjEPMwnKrMi8KQtL?go=1&t=4986, ,Do you think we’ll eventually get used to the pandemic?
Hast du merkw√ºrdige Doku-Vorlieben?,2020,100,Felix,https://open.spotify.com/episode/6gLEhoEMagBv6R2yWsiVP7?go=1&t=3475, ,Do you have strange documentary preferences?
"Wer ist der lustigste deutsche Promi, der kein Comedian ist?",2022,176,Felix,https://open.spotify.com/episode/1P3U1vthYQ7gI8ceJ1btLx?go=1&t=3974, ,Who’s the funniest German celebrity who isn’t a comedian?
Welchem Promi w√ºrdest du gerne mal einen Friseurbesuch spendieren?,2022,203,Felix,https://open.spotify.com/episode/173KZvg1ChbYI9rdl0GGkg?go=1&t=1952, ,Which celebrity would you love to sponsor a haircut for?
Achtest du bei Ausw√§rts-Essen auf Bewertungen? Und bewertest du selbst?,2020,128,Felix,https://open.spotify.com/episode/6oLzmkEywzBKociuNAeQ4Q?go=1&t=2834, ,Do you check restaurant reviews before eating out? And do you leave reviews yourself?
Hattest du eine Zahnspange?,2021,163,Felix,https://open.spotify.com/episode/6yH9l5NbCmTGpPZE8wQOMM?go=1&t=2298, ,Did you have braces?
Sollte f√ºr die Organspende die Widerspruchsregelung eingef√ºhrt werden?,2020,89,Felix,https://open.spotify.com/episode/4v2BQKgCgSimekHrjSs4au?go=1&t=1662, ,Should Germany introduce the opt-out system for organ donation?
Was tust du gerne f√ºr andere und warum?,2022,184,Tommi,https://open.spotify.com/episode/3m6LPoTdUpy1JLAguCcXNw?go=1&t=4007, ,What do you enjoy doing for others and why?
W√§rest du gerne mit dir befreundet?,2018,38,Tommi,https://open.spotify.com/episode/3nUkY2rVcTRlRnv05A67Gz?go=1&t=1570, ,Would you like to be friends with yourself?
Was w√ºrdest du hamstern wenn's drauf ankommt?,2022,177,Tommi,https://open.spotify.com/episode/0thcAAlsnwozg4uiMxkrYV?go=1&t=3969, ,What would you hoard if it came down to it?
Bist du ein Fingerknacker?,2020,110,Tommi,https://open.spotify.com/episode/2LuKCDRxA3PrmJnDDdl1YF?go=1&t=1310, ,Are you a finger-cracker?
Bist du auch bei irgendwas komisch im Kopf?,2020,115,Tommi,https://open.spotify.com/episode/7BxUJL8VPeMaKg31W6jGWa?go=1&t=4178, ,Are you also a bit weird in the head about something?
Was ist die st√§rkste Geste f√ºr einen Freund?,2020,100,Felix,https://open.spotify.com/episode/6gLEhoEMagBv6R2yWsiVP7?go=1&t=3159, ,What’s the strongest gesture you can make for a friend?
Auf welche Werbung bist du als Letztes reingefallen?,2021,157,Felix,https://open.spotify.com/episode/5WaRdGfyhyJBmhgwO7Sh68?go=1&t=2923, ,What’s the last advertisement you fell for?
Besitzt du eine bestimmte Klamotte zweimal?,2023,217,Felix,, ,Do you own a specific piece of clothing twice?
Was ist dein t√ºrkisches Lieblingsessen au√üer D√∂ner?,2022,205,Felix,https://open.spotify.com/episode/3DaaesGPUoRcb8isdWIOqt?go=1&t=2934, ,What’s your favorite Turkish dish besides döner?
Was ist deine Lieblingsstation in einer Waschstra√üe?,2023,232,Felix,https://open.spotify.com/episode/5ZbfrYMYeoYTSnGgd0c0qZ?go=1&t=2931 , ,What’s your favorite station in a car wash?
Wie w√ºrdest du das perfekte Date planen?,2020,101,,https://open.spotify.com/episode/7yb6fSUGMZXCzSRlloyXuE?go=1&t=1877, ,How would you plan the perfect date?
Auf welche erwachsene Eigenschaft von dir bist du stolz?,2023,232,Felix,https://open.spotify.com/episode/5ZbfrYMYeoYTSnGgd0c0qZ?go=1&t=4009, ,Which grown-up trait of yours are you proud of?
Alle Frauen lieben Tassen. Warum?,2019,64,Felix,https://open.spotify.com/episode/4QdLvVwSRkb0SnZJXOScyU?go=1&t=2522, ,All women love mugs. Why?
Wann hast du das letzte Mal geweint?,2019,84,Felix,https://open.spotify.com/episode/5a8qg8BdR9nebdfGvcIfs9?go=1&t=2757, ,When was the last time you cried?
"Was w√ºrdest du in deiner Stadt machen, wenn du M√§zen w√§rest?",2022,190,Tommi,https://open.spotify.com/episode/2xR0ldWeSQ9RIlIHk9po0O?go=1&t=3287, ,"If you were a patron (sponsor) in your city, what would you do?"
Wann hast du dich das letzte Mal gut entertained gef√ºhlt?,2023,214,Felix,https://open.spotify.com/episode/7EShl70HOZCpOIs4kjJSRa?go=1&t=3308, ,When was the last time you felt truly entertained?
Worauf freust du dich aktuell am meisten?,2022,170,Tommi,https://open.spotify.com/episode/3OHhP7iPabxcCIadZvMJ7I?go=1&t=4380, ,What are you currently looking forward to the most?
Welcher Fail wird dir sicher mal passieren?,2023,218,Tommi,https://open.spotify.com/episode/7a9w0lErnjMS6Mu1kDVDNo?go=1&t=3021, ,What’s a fail that will definitely happen to you someday?
Hast du einen gr√ºnen Daumen?,2019,62,Felix,https://open.spotify.com/episode/6uSSUrP2y4pXXvz6I1tmht?go=1&t=3766, ,Do you have a green thumb?
W√§rst du lieber als Rassist oder als Sexist verschrien?,2019,53,Tommi,, ,Would you rather be known as a racist or as a sexist?
"Du h√∂rst das Wort ""Musikvideo"". An welches denkst du?",2022,184,Tommi,https://open.spotify.com/episode/3m6LPoTdUpy1JLAguCcXNw?go=1&t=4645, ,You hear the word “music video” — which one do you think of?
Wobei wurdest du als Letztes erwischt?,2022,167,Tommi,https://open.spotify.com/episode/3jiHSM4gsSqYoYlIppk1T1?go=1&t=4673, ,What was the last thing you got caught doing?
"Glaubst du, du bist Social-Media-s√ºchtig?",2019,65,Tommi,https://open.spotify.com/episode/5yR3wu1cwdYg6ZOjinOr6k?go=1&t=3640, ,Do you think you’re addicted to social media?
K√ºche sauber machen oder Bad putzen?,2018,36,Felix,https://open.spotify.com/episode/3OC5xy5BWUI6HdsvWe9JtM?go=1&t=771, ,Clean the kitchen or scrub the bathroom?
Was vermisst am Studieren am meisten?,2020,91,Felix,https://open.spotify.com/episode/7zHD9kMDlKN2RdKtSzCqfG?go=1&t=3561, ,What do you miss most about studying?
Kommst du bei WhatsApp auch nicht mehr hinterher?,2019,75,Tommi,https://open.spotify.com/episode/5xReT6LgW87qpARIk1v5yr?go=1&t=1605, ,Do you also struggle to keep up with WhatsApp messages?
Welches Lied h√∂rst du entweder gar nicht oder nur 15 Mal hintereinander?,2019,60,Felix,https://open.spotify.com/episode/2zbINdbLuDhmviPmC0BKOY?go=1&t=2422, ,Which song do you either never listen to or play 15 times in a row?
Welche vom Markt weggeregelte Sache h√§ttest du gerne wieder zur√ºck?,2022,171,Felix,https://open.spotify.com/episode/5KEKCcqCAgsdtnxgKOSlE4?go=1&t=2896, ,What discontinued product would you like to have back?
Welches ist das unn√∂tigste Drogerieprodukt in deinem Besitz?,2022,190,Felix,https://open.spotify.com/episode/2xR0ldWeSQ9RIlIHk9po0O?go=1&t=4184, ,What’s the most useless drugstore product you own?
Hast du eine komische Angewohnheit?,2019,53,Felix,, ,Do you have a weird habit?
Was war dein letzter Fehlkauf?,2017,4,Felix,https://open.spotify.com/episode/6sZoQS2B7wRxSErtbyoAaA?go=1&t=457, ,What was your last bad purchase?
Welcher ist dein Lieblingsdinosaurier?,2018,48,Felix,https://open.spotify.com/episode/14ZktQRT1W5zsj3tVomg36?go=1&t=3568, ,What’s your favorite dinosaur?
Was sind k√∂rperliche Makel von dir?,2020,100,Felix,https://open.spotify.com/episode/6gLEhoEMagBv6R2yWsiVP7?go=1&t=2852, ,What are some of your physical imperfections?
Was ist aktuell dein Lieblingsstreaminganbieter?,2022,192,Tommi,https://open.spotify.com/episode/1mykhxsMtyXh6E4Mvxxivr?go=1&t=4685, ,What’s your current favorite streaming service?
In welchen Situationen bist du auf eine komische Art patriotisch?,2022,173,Tommi,https://open.spotify.com/episode/7EnOSxCjrW0s6XEVswZPto?go=1&t=2836, ,In what situations are you patriotic in a strange way?
Welche Momente deiner Kindheit vermisst du √ºberhaupt nicht?,2022,173,Tommi,https://open.spotify.com/episode/7EnOSxCjrW0s6XEVswZPto?go=1&t=3961, ,What moments from your childhood do you not miss at all?
